radius,pressure,mass,density,energy
8.73180000e+02,5.17343408e+33,1.48366304e+27,4.98448556e+17,5.93089901e+15
8.87040000e+02,5.17201701e+33,1.55533813e+27,4.98398904e+17,5.92986515e+15
9.00900000e+02,5.17057785e+33,1.62928022e+27,4.98348469e+17,5.92881508e+15
9.14760000e+02,5.16911663e+33,1.70552418e+27,4.98297251e+17,5.92774879e+15
9.28620000e+02,5.16763334e+33,1.78410492e+27,4.98245252e+17,5.92666630e+15
9.42480000e+02,5.16612802e+33,1.86505728e+27,4.98192469e+17,5.92556760e+15
9.56340000e+02,5.16460065e+33,1.94841609e+27,4.98138904e+17,5.92445270e+15
9.70200000e+02,5.16305127e+33,2.03421615e+27,4.98084556e+17,5.92332160e+15
9.84060000e+02,5.16147987e+33,2.12249226e+27,4.98029425e+17,5.92217431e+15
9.97920000e+02,5.15988647e+33,2.21327915e+27,4.97973512e+17,5.92101082e+15
1.01178000e+03,5.15827109e+33,2.30661156e+27,4.97916816e+17,5.91983115e+15
1.02564000e+03,5.15663373e+33,2.40252418e+27,4.97859337e+17,5.91863529e+15
1.03950000e+03,5.15497441e+33,2.50105170e+27,4.97801076e+17,5.91742325e+15
1.05336000e+03,5.15329314e+33,2.60222876e+27,4.97742031e+17,5.91619504e+15
1.06722000e+03,5.15158993e+33,2.70608997e+27,4.97682204e+17,5.91495065e+15
1.08108000e+03,5.14986481e+33,2.81266992e+27,4.97621594e+17,5.91369009e+15
1.09494000e+03,5.14811777e+33,2.92200318e+27,4.97560201e+17,5.91241337e+15
1.10880000e+03,5.14634883e+33,3.03412428e+27,4.97498025e+17,5.91112048e+15
1.12266000e+03,5.14455802e+33,3.14906773e+27,4.97435065e+17,5.90981143e+15
1.13652000e+03,5.14274533e+33,3.26686799e+27,4.97371323e+17,5.90848623e+15
1.15038000e+03,5.14091079e+33,3.38755951e+27,4.97306798e+17,5.90714488e+15
1.16424000e+03,5.13905440e+33,3.51117671e+27,4.97241490e+17,5.90578739e+15
1.17810000e+03,5.13717620e+33,3.63775396e+27,4.97175398e+17,5.90441375e+15
1.19196000e+03,5.13527617e+33,3.76732563e+27,4.97108523e+17,5.90302397e+15
1.20582000e+03,5.13335435e+33,3.89992602e+27,4.97040865e+17,5.90161806e+15
1.21968000e+03,5.13141075e+33,4.03558943e+27,4.96972424e+17,5.90019601e+15
1.23354000e+03,5.12944538e+33,4.17435011e+27,4.96903199e+17,5.89875785e+15
1.24740000e+03,5.12745826e+33,4.31624229e+27,4.96833192e+17,5.89730356e+15
1.26126000e+03,5.12544940e+33,4.46130015e+27,4.96762400e+17,5.89583315e+15
1.27512000e+03,5.12341882e+33,4.60955787e+27,4.96690826e+17,5.89434663e+15
1.28898000e+03,5.12136653e+33,4.76104955e+27,4.96618467e+17,5.89284400e+15
1.30284000e+03,5.11929255e+33,4.91580928e+27,4.96545326e+17,5.89132527e+15
1.31670000e+03,5.11719689e+33,5.07387114e+27,4.96471401e+17,5.88979044e+15
