rho0,mass,radius
2.810000e+19,3.600790e+30,9.295840e+03
2.820000e+19,3.600930e+30,9.295730e+03
2.830000e+19,3.601066e+30,9.295610e+03
2.840000e+19,3.601200e+30,9.295500e+03
2.850000e+19,3.601332e+30,9.295380e+03
2.860000e+19,3.601460e+30,9.295260e+03
2.870000e+19,3.601587e+30,9.295130e+03
2.880000e+19,3.601710e+30,9.295010e+03
2.890000e+19,3.601831e+30,9.294880e+03
2.900000e+19,3.601949e+30,9.294750e+03
2.910000e+19,3.602065e+30,9.294620e+03
2.920000e+19,3.602178e+30,9.294490e+03
2.930000e+19,3.602289e+30,9.294350e+03
2.940000e+19,3.602398e+30,9.294220e+03
2.950000e+19,3.602504e+30,9.294080e+03
2.960000e+19,3.602608e+30,9.293940e+03
2.970000e+19,3.602709e+30,9.293800e+03
2.980000e+19,3.602808e+30,9.293660e+03
2.990000e+19,3.602905e+30,9.293510e+03
3.000000e+19,3.603000e+30,9.293370e+03
3.010000e+19,3.603093e+30,9.293220e+03
3.020000e+19,3.603184e+30,9.293070e+03
3.030000e+19,3.603272e+30,9.292920e+03
3.040000e+19,3.603359e+30,9.292770e+03
3.050000e+19,3.603443e+30,9.292620e+03
3.060000e+19,3.603526e+30,9.292470e+03
3.070000e+19,3.603606e+30,9.292310e+03
3.080000e+19,3.603685e+30,9.292160e+03
3.090000e+19,3.603761e+30,9.292000e+03
3.100000e+19,3.603836e+30,9.291840e+03
3.110000e+19,3.603909e+30,9.291690e+03
3.120000e+19,3.603980e+30,9.291530e+03
3.130000e+19,3.604049e+30,9.291370e+03
3.140000e+19,3.604117e+30,9.291210e+03
3.150000e+19,3.604182e+30,9.291050e+03
3.160000e+19,3.604246e+30,9.290880e+03
3.170000e+19,3.604309e+30,9.290720e+03
3.180000e+19,3.604370e+30,9.290560e+03
3.190000e+19,3.604429e+30,9.290390e+03
3.200000e+19,3.604486e+30,9.290230e+03
3.210000e+19,3.604542e+30,9.290060e+03
3.220000e+19,3.604596e+30,9.289900e+03
3.230000e+19,3.604649e+30,9.289730e+03
3.240000e+19,3.604700e+30,9.289560e+03
3.250000e+19,3.604750e+30,9.289400e+03
3.260000e+19,3.604798e+30,9.289230e+03
3.270000e+19,3.604845e+30,9.289060e+03
3.280000e+19,3.604890e+30,9.288890e+03
3.290000e+19,3.604934e+30,9.288720e+03
3.300000e+19,3.604977e+30,9.288550e+03
3.310000e+19,3.605018e+30,9.288380e+03
3.320000e+19,3.605058e+30,9.288210e+03
3.330000e+19,3.605096e+30,9.288040e+03
